gameid	 time	 roundNum	 condition	 nameClickedObj	 targetStatusClickedObj	 spLocsClickedObj	 lisLocsClickedObj	 alt1Name	 alt1TargetStatus	 alt1SpLocs	 alt1LisLocs	 alt2Name	 alt2TargetStatus	 alt2SpLocs	 alt2LisLocs 	numMessages	numSMessages	numLMessages	speakerMessages	listenerMessages	messageTimeStamps	refExp	sizeMentioned	colorMentioned	typeMentioned	clickedType	clickedSize	clickedColor
1382-f	1447427903203	53	filler	broccoli	target	3	1	binoculars	distractor	2	2	tire	distractor	1	3	1	1	0	green		1447427902162	green	False	False	False	broccoli	NA	NA
1382-f	1447427906774	54	colorOnly	small_purple_coathanger	target	1	2	big_orange_coathanger	distractor	3	1	small_orange_coathanger	distractor	2	3	1	1	0	purple		1447427905763	purple	False	True	False	coathanger	small	purple
1382-f	1447427909464	55	filler	tophat	target	3	3	watermelon	distractor	2	1	iguana	distractor	1	2	1	1	0	black		1447427908465	black	False	False	False	tophat	NA	NA
1382-f	1447427913337	56	filler	car	target	2	2	basketball	distractor	3	3	television	distractor	1	1	1	1	0	vroom		1447427912122	vroom	False	False	False	car	NA	NA
1382-f	1447427915877	57	filler	bear	target	2	1	tomato	distractor	3	2	violin	distractor	1	3	1	1	0	bear		1447427914834	bear	False	False	True	bear	NA	NA
1382-f	1447427919758	58	filler	broccoli	target	1	1	dresser	distractor	2	2	baseball	distractor	3	3	1	1	0	green		1447427918736	green	False	False	False	broccoli	NA	NA
1382-f	1447427922725	59	filler	lion	target	1	1	kiwi	distractor	3	3	basketball	distractor	2	2	1	1	0	roar		1447427921613	roar	False	False	False	lion	NA	NA
1382-f	1447427926153	60	filler	tooth	target	1	1	trumpet	distractor	2	3	chick	distractor	3	2	1	1	0	tooth		1447427925291	tooth	False	False	True	tooth	NA	NA
1382-f	1447427929853	61	filler	watermelon	target	2	1	tennisball	distractor	1	2	raspberry	distractor	3	3	1	1	0	watermelon		1447427929057	watermelon	False	False	True	watermelon	NA	NA
1382-f	1447427934347	62	filler	trumpet	distractor	1	1	strawberry	target	3	2	broccoli	distractor	2	3	1	1	0	straw		1447427931939	straw	False	False	False	trumpet	NA	NA
1382-f	1447427937543	63	filler	rhinoceros	target	1	1	iguana	distractor	3	2	sheep	distractor	2	3	1	1	0	rhino		1447427936393	rhino	False	False	False	rhinoceros	NA	NA
1382-f	1447427940837	64	filler	tire	target	1	3	trumpet	distractor	2	2	tomato	distractor	3	1	1	1	0	tire		1447427939635	tire	False	False	True	tire	NA	NA
1382-f	1447427943154	65	filler	tire	target	1	3	snake	distractor	2	2	lobster	distractor	3	1	1	1	0	tire		1447427942220	tire	False	False	True	tire	NA	NA
1382-f	1447427945758	66	filler	smokedetector	target	2	1	piano	distractor	1	3	snowflake	distractor	3	2	1	1	0	alarm		1447427944727	alarm	False	False	False	smokedetector	NA	NA
1382-f	1447427951241	67	colorOnly	big_black_comb	distractor	1	1	small_blue_comb	target	2	2	small_black_comb	distractor	3	3	1	1	0	black		1447427948981	black	False	True	False	comb	big	black
1382-f	1447427956900	68	sizeOnly	small_blue_book	target	3	1	big_black_book	distractor	1	2	big_blue_book	distractor	2	3	1	1	0	small blue		1447427955769	small blue	True	True	False	book	small	blue
1382-f	1447427959677	69	filler	chick	target	1	1	polarbear	distractor	2	3	mailbox	distractor	3	2	1	1	0	chick		1447427958741	chick	False	False	True	chick	NA	NA
1382-f	1447427962273	70	filler	fox	target	1	3	television	distractor	3	1	camera	distractor	2	2	1	1	0	fox		1447427961059	fox	False	False	True	fox	NA	NA
1382-f	1447427964733	71	filler	tophat	target	2	3	garbagecan	distractor	3	1	snowflake	distractor	1	2	1	1	0	black		1447427963774	black	False	False	False	tophat	NA	NA
1382-f	1447427967074	72	filler	garbagecan	target	1	2	broccoli	distractor	3	1	teddybear	distractor	2	3	1	1	0	red		1447427966066	red	False	False	False	garbagecan	NA	NA
1382-f	1447427969749	73	filler	snake	target	1	1	lime	distractor	2	2	ketchup	distractor	3	3	1	1	0	snake		1447427968628	snake	False	False	True	snake	NA	NA
1382-f	1447427973996	74	filler	polarbear	target	3	1	basketball	distractor	1	2	snake	distractor	2	3	1	1	0	bear		1447427972947	bear	False	False	False	polarbear	NA	NA
1382-f	1447427976653	75	colorOnly	big_blue_rug	target	1	1	big_purple_rug	distractor	2	2	small_purple_rug	distractor	3	3	1	1	0	blue		1447427975427	blue	False	True	False	rug	big	blue
1382-f	1447427979518	76	filler	broccoli	target	3	2	car	distractor	2	1	grapefruit	distractor	1	3	1	1	0	green		1447427978593	green	False	False	False	broccoli	NA	NA
1382-f	1447427982352	77	colorAndSize	small_green_bracelet	target	2	3	big_purple_bracelet	distractor	3	1	big_purple_bracelet	distractor	1	2	1	1	0	green		1447427981279	green	False	True	False	bracelet	small	green
1382-f	1447427985814	78	filler	toilet	target	3	1	gloves	distractor	2	2	strawberry	distractor	1	3	1	1	0	flush		1447427984757	flush	False	False	False	toilet	NA	NA
1382-f	1447427989670	79	sizeOnly	big_pink_golfball	target	2	1	small_pink_golfball	distractor	1	2	small_blue_golfball	distractor	3	3	1	1	0	large pink		1447427988572	large pink	False	True	False	golfball	big	pink
1382-f	1447427993003	80	colorAndSize	big_purple_rock	target	1	3	small_green_rock	distractor	3	1	small_green_rock	distractor	2	2	1	1	0	purple		1447427992089	purple	False	True	False	rock	big	purple
1382-f	1447427995867	81	filler	snake	target	1	1	garlic	distractor	3	2	flamingo	distractor	2	3	1	1	0	green		1447427994665	green	False	False	False	snake	NA	NA
1382-f	1447428002162	82	filler	motorcycle	target	1	3	firetruck	distractor	2	2	lemon	distractor	3	1	1	1	0	speed bike		1447428000244	speed bike	False	False	False	motorcycle	NA	NA
1382-f	1447428006692	83	sizeOnly	big_pink_teacup	target	3	1	small_pink_teacup	distractor	1	3	small_white_teacup	distractor	2	2	1	1	0	large pink		1447428005523	large pink	False	True	False	teacup	big	pink
1382-f	1447428009295	84	filler	artichoke	target	1	2	garlic	distractor	2	1	gloves	distractor	3	3	1	1	0	green		1447428008233	green	False	False	False	artichoke	NA	NA
1382-f	1447428011875	85	filler	cactus	target	2	1	kitten	distractor	3	3	carrot	distractor	1	2	1	1	0	green		1447428010937	green	False	False	False	cactus	NA	NA
1382-f	1447428014541	86	filler	egg	target	3	2	artichoke	distractor	1	1	cherries	distractor	2	3	1	1	0	egg		1447428013605	egg	False	False	True	egg	NA	NA
1382-f	1447428018066	87	filler	crocodile	target	3	2	piano	distractor	1	3	cherries	distractor	2	1	1	1	0	gator		1447428017114	gator	False	False	False	crocodile	NA	NA
1382-f	1447428020874	88	filler	broccoli	target	2	3	smokedetector	distractor	3	2	garbagecan	distractor	1	1	1	1	0	green		1447428019800	green	False	False	False	broccoli	NA	NA
1382-f	1447428025875	89	filler	teddybear	target	1	1	bison	distractor	2	3	banana	distractor	3	2	1	1	0	bear		1447428022996	bear	False	False	False	teddybear	NA	NA
1382-f	1447428031224	90	filler	grapefruit	target	3	3	kitten	distractor	2	2	banana	distractor	1	1	1	1	0	pink		1447428029733	pink	False	False	False	grapefruit	NA	NA
1382-f	1447428034439	91	colorAndSize	big_purple_butterfly	target	2	3	small_blue_butterfly	distractor	1	1	small_blue_butterfly	distractor	3	2	1	1	0	pink		1447428033345	pink	False	False	False	butterfly	big	purple
1382-f	1447428037057	92	colorOnly	small_blue_ornament	target	1	2	big_purple_ornament	distractor	3	3	small_purple_ornament	distractor	2	1	1	1	0	blue		1447428036072	blue	False	True	False	ornament	small	blue
1382-f	1447428040588	93	filler	schoolbus	target	1	3	bison	distractor	3	1	penguin	distractor	2	2	1	1	0	yello		1447428039496	yello	False	False	False	schoolbus	NA	NA
1382-f	1447428043334	94	filler	eggplant	target	2	1	ketchup	distractor	3	2	banana	distractor	1	3	1	1	0	black		1447428042274	black	False	False	False	eggplant	NA	NA
1382-f	1447428046763	95	filler	schoolbus	target	1	3	violin	distractor	2	1	carrot	distractor	3	2	1	1	0	yellow		1447428045385	yellow	False	False	False	schoolbus	NA	NA
1382-f	1447428049628	96	filler	tire	target	2	2	toilet	distractor	3	1	television	distractor	1	3	1	1	0	tire		1447428048681	tire	False	False	True	tire	NA	NA
1382-f	1447428054437	97	sizeOnly	big_white_shoe	target	3	1	small_white_shoe	distractor	1	2	small_yellow_shoe	distractor	2	3	1	1	0	large white		1447428053306	large white	False	True	False	shoe	big	white
1382-f	1447428057350	98	colorAndSize	small_purple_yarn	target	1	2	big_red_yarn	distractor	3	1	big_red_yarn	distractor	2	3	1	1	0	purple		1447428056241	purple	False	True	False	yarn	small	purple
1382-f	1447428060128	99	colorAndSize	small_red_flower	target	1	2	big_purple_flower	distractor	2	3	big_purple_flower	distractor	3	1	1	1	0	red		1447428059121	red	False	True	False	flower	small	red
1382-f	1447428066184	100	filler	clarinet	target	3	3	fireextinguisher	distractor	2	1	raspberry	distractor	1	2	1	1	0	black instrument		1447428064873	black instrument	False	False	False	clarinet	NA	NA
1382-f	1447428068865	101	colorAndSize	big_blue_tack	target	1	2	small_red_tack	distractor	3	1	small_red_tack	distractor	2	3	1	1	0	blue		1447428067947	blue	False	True	False	tack	big	blue
1382-f	1447428071311	102	filler	bear	target	2	1	smokedetector	distractor	1	2	lion	distractor	3	3	1	1	0	bear		1447428070264	bear	False	False	True	bear	NA	NA
1382-f	1447428075549	103	sizeOnly	big_yellow_balloon	target	2	1	small_pink_balloon	distractor	1	3	small_yellow_balloon	distractor	3	2	1	1	0	large yellow		1447428074341	large yellow	False	True	False	balloon	big	yellow
1382-f	1447428078215	104	filler	lobster	target	3	3	grapefruit	distractor	1	1	lime	distractor	2	2	1	1	0	red		1447428076825	red	False	False	False	lobster	NA	NA
1382-f	1447428081881	105	filler	artichoke	target	3	3	santahat	distractor	1	2	hotdog	distractor	2	1	1	1	0	green		1447428080778	green	False	False	False	artichoke	NA	NA
1382-f	1447428085175	106	filler	grapefruit	target	1	3	hotdog	distractor	3	2	garbagecan	distractor	2	1	1	1	0	pink		1447428084173	pink	False	False	False	grapefruit	NA	NA
1382-f	1447428088714	107	colorAndSize	small_orange_billiardball	target	1	1	big_purple_billiardball	distractor	2	2	big_purple_billiardball	distractor	3	3	1	1	0	orange		1447428087760	orange	False	True	False	billiardball	small	orange
1382-f	1447428098358	108	filler	lion	target	3	2	basketball	distractor	2	3	eggplant	distractor	1	1	1	1	0	lion nice working with you		1447428095905	lion nice working with you	False	False	True	lion	NA	NA
7547-f	1447428880288	1	sizeOnly	small_blue_folder	target	1	1	big_blue_folder	distractor	3	2	big_green_folder	distractor	2	3	5	3	2	hi___yes, hopefully___its small	hello___this should be fun :)	1447428848462___1447428853508___1447428862249___1447428869631___1447428874386	hi	False	False	False	folder	small	blue
7547-f	1447428892606	2	colorAndSize	small_blue_golfball	target	2	3	big_pink_golfball	distractor	3	1	big_pink_golfball	distractor	1	2	1	1	0	very small		1447428889055	very small	True	False	False	golfball	small	blue
7547-f	1447428898845	3	filler	piano	target	2	1	tooth	distractor	3	2	broccoli	distractor	1	3	1	1	0	music		1447428897430	music	False	False	False	piano	NA	NA
7547-f	1447428907130	4	filler	zucchini	target	2	1	garlic	distractor	3	3	ketchup	distractor	1	2	1	1	0	green		1447428904755	green	False	False	False	zucchini	NA	NA
7547-f	1447428914910	5	filler	bear	target	2	2	tennisball	distractor	1	3	kiwi	distractor	3	1	1	1	0	animal		1447428913435	animal	False	False	False	bear	NA	NA
7547-f	1447428923271	6	filler	orange	target	3	2	tire	distractor	2	3	polarbear	distractor	1	1	1	1	0	edible		1447428919675	edible	False	False	False	orange	NA	NA
7547-f	1447428929514	7	sizeOnly	small_blue_candle	target	3	1	big_blue_candle	distractor	2	2	big_red_candle	distractor	1	3	1	1	0	smallest		1447428928080	smallest	False	False	False	candle	small	blue
7547-f	1447428936415	8	filler	mailbox	target	1	1	polarbear	distractor	2	2	artichoke	distractor	3	3	1	1	0	postal		1447428935104	postal	False	False	False	mailbox	NA	NA
7547-f	1447428946104	9	filler	bulldozer	target	1	1	dresser	distractor	3	2	tooth	distractor	2	3	1	1	0	construction		1447428945210	construction	False	False	False	bulldozer	NA	NA
7547-f	1447428952101	10	colorAndSize	small_blue_cushion	target	3	3	big_orange_cushion	distractor	1	1	big_orange_cushion	distractor	2	2	1	1	0	smallest		1447428950587	smallest	False	False	False	cushion	small	blue
7547-f	1447428958350	11	filler	strawberry	target	1	3	egg	distractor	2	1	toilet	distractor	3	2	1	1	0	red		1447428957141	red	False	False	False	strawberry	NA	NA
7547-f	1447428966737	12	filler	polarbear	target	2	3	baseball	distractor	1	2	fox	distractor	3	1	1	1	0	huge		1447428965589	huge	False	False	False	polarbear	NA	NA
7547-f	1447428973168	13	filler	rhinoceros	target	2	1	firetruck	distractor	3	3	firehydrant	distractor	1	2	1	1	0	animal		1447428971495	animal	False	False	False	rhinoceros	NA	NA
7547-f	1447428978379	14	filler	trumpet	target	2	2	kitten	distractor	1	1	lion	distractor	3	3	1	1	0	music		1447428977000	music	False	False	False	trumpet	NA	NA
7547-f	1447428982426	15	filler	clarinet	target	3	3	elephant	distractor	1	2	zucchini	distractor	2	1	1	1	0	music		1447428981310	music	False	False	False	clarinet	NA	NA
7547-f	1447428988152	16	sizeOnly	big_green_avocado	target	3	2	small_black_avocado	distractor	2	3	small_green_avocado	distractor	1	1	1	1	0	biggest		1447428987060	biggest	False	False	False	avocado	big	green
7547-f	1447428993342	17	sizeOnly	small_blue_butterfly	target	3	3	big_purple_butterfly	distractor	2	2	big_blue_butterfly	distractor	1	1	1	1	0	smallest		1447428992553	smallest	False	False	False	butterfly	small	blue
7547-f	1447428997904	18	sizeOnly	big_purple_stapler	target	3	3	small_purple_stapler	distractor	1	2	small_red_stapler	distractor	2	1	1	1	0	biggest		1447428996539	biggest	False	False	False	stapler	big	purple
7547-f	1447429004116	19	filler	cactus	target	1	2	gloves	distractor	2	1	piano	distractor	3	3	1	1	0	prickly		1447429002822	prickly	False	False	False	cactus	NA	NA
7547-f	1447429019551	20	filler	banana	target	1	3	lime	distractor	3	2	firetruck	distractor	2	1	1	1	0	small but long		1447429016858	small but long	False	False	False	banana	NA	NA
7547-f	1447429030272	21	filler	horse	target	2	3	piano	distractor	1	2	snake	distractor	3	1	1	1	0	ride on it		1447429028780	ride on it	False	False	False	horse	NA	NA
7547-f	1447429035099	22	filler	television	target	1	1	zucchini	distractor	2	3	iguana	distractor	3	2	1	1	0	watch it		1447429033674	watch it	False	False	False	television	NA	NA
7547-f	1447429040114	23	filler	strawberry	target	2	2	violin	distractor	3	3	clarinet	distractor	1	1	1	1	0	eat it		1447429039210	eat it	False	False	False	strawberry	NA	NA
7547-f	1447429050835	24	filler	egg	target	3	3	cherries	distractor	2	2	broccoli	distractor	1	1	1	1	0	crack it		1447429049223	crack it	False	False	False	egg	NA	NA
7547-f	1447429058654	25	filler	bison	target	2	1	crocodile	distractor	3	3	elephant	distractor	1	2	1	1	0	horned		1447429056749	horned	False	False	False	bison	NA	NA
7547-f	1447429066822	26	filler	television	target	2	1	artichoke	distractor	1	2	penguin	distractor	3	3	1	1	0	square		1447429065547	square	False	False	False	television	NA	NA
7547-f	1447429071978	27	filler	polarbear	target	3	2	penguin	distractor	2	1	baseball	distractor	1	3	1	1	0	huge		1447429070094	huge	False	False	False	polarbear	NA	NA
7547-f	1447429083178	28	filler	rubberduck	target	2	2	flamingo	distractor	1	1	bulldozer	distractor	3	3	1	1	0	the ugly _____		1447429081528	the ugly _____	False	False	False	rubberduck	NA	NA
7547-f	1447429088941	29	filler	dresser	target	1	2	grapefruit	distractor	3	1	fireextinguisher	distractor	2	3	1	1	0	store clothes		1447429087221	store clothes	False	False	False	dresser	NA	NA
7547-f	1447429096926	30	filler	bulldozer	target	2	2	trumpet	distractor	3	1	iguana	distractor	1	3	1	1	0	construction		1447429095803	construction	False	False	False	bulldozer	NA	NA
7547-f	1447429101459	31	filler	orange	target	1	2	motorcycle	distractor	2	1	bulldozer	distractor	3	3	1	1	0	peel it		1447429100226	peel it	False	False	False	orange	NA	NA
7547-f	1447429104733	32	colorAndSize	small_purple_rug	target	3	3	big_blue_rug	distractor	1	1	big_blue_rug	distractor	2	2	1	1	0	smallest		1447429103892	smallest	False	False	False	rug	small	purple
7547-f	1447429111423	33	filler	kitten	target	3	2	gloves	distractor	2	3	banana	distractor	1	1	1	1	0	meow		1447429109457	meow	False	False	False	kitten	NA	NA
7547-f	1447429130441	34	colorOnly	small_purple_hairdryer	target	2	1	small_pink_hairdryer	distractor	1	2	big_pink_hairdryer	distractor	3	3	3	2	1	smallest___blue i think	color?	1447429114062___1447429121655___1447429128481	smallest	False	False	False	hairdryer	small	purple
7547-f	1447429148919	35	filler	eggplant	target	1	2	cactus	distractor	2	3	cherries	distractor	3	1	1	1	0	big but not that big		1447429140111	big but not that big	False	False	False	eggplant	NA	NA
7547-f	1447429159327	36	filler	football	target	2	3	carrot	distractor	3	2	clarinet	distractor	1	1	1	1	0	touchdown!		1447429157786	touchdown!	False	False	False	football	NA	NA
7547-f	1447429163374	37	colorOnly	big_red_bike	target	1	1	big_purple_bike	distractor	3	3	small_purple_bike	distractor	2	2	1	1	0	red		1447429161998	red	False	True	False	bike	big	red
7547-f	1447429168676	38	filler	orange	target	1	3	flamingo	distractor	3	1	firetruck	distractor	2	2	1	1	0	round		1447429166682	round	False	False	False	orange	NA	NA
7547-f	1447429173439	39	filler	lobster	target	2	2	piano	distractor	3	3	bison	distractor	1	1	1	1	0	claws		1447429171904	claws	False	False	False	lobster	NA	NA
7547-f	1447429177411	40	filler	polarbear	target	3	2	tire	distractor	2	1	watermelon	distractor	1	3	1	1	0	paws		1447429176360	paws	False	False	False	polarbear	NA	NA
7547-f	1447429182994	41	filler	bear	target	1	1	camera	distractor	2	2	schoolbus	distractor	3	3	1	1	0	brown		1447429181538	brown	False	False	False	bear	NA	NA
7547-f	1447429186653	42	sizeOnly	small_brown_jacket	target	2	2	big_brown_jacket	distractor	1	1	big_green_jacket	distractor	3	3	1	1	0	smallest		1447429185513	smallest	False	False	False	jacket	small	brown
